text,emotion,confidence
"Teollisuuden Voima Oyj , the Finnish utility known as TVO , said it shortlisted Mitsubishi Heavy s EU-APWR model along with reactors from Areva , Toshiba Corp. , GE Hitachi Nuclear Energy and Korea Hydro & Nuclear Power Co. .",uncertainty,high
Starbucks says the workers violated safety policies while workers said they'd never heard of the policy before and are alleging retaliation.,uncertainty,high
"Google parent Alphabet Inc. reported revenue and earnings that fell short of analysts' expectations, showing the company's search advertising juggernaut was not immune to a slowdown in the digital ad market. The shares fell more than 6%.",fear,high
"Bernie Madoff, the former Wall Street investment advisor infamous for his Ponzi scheme, is back in the news  https://t.co/RJpoD8asy5",anxiety,high
Financial terms were not disclosed .,uncertainty,high
$UVXY Put the chum out there at key support then next level down - careful,anxiety,high
"$SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!",anxiety,high
The value of the order is USD 2.3 mn .,uncertainty,high
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",anxiety,high
$RNN More bleeding Monday.,fear,high
Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,uncertainty,high
"""1/3 of all women in the world have experienced some kind of violence."" Here's how @UN_Women is working to end tha… https://t.co/PPmZ6wtfUF",uncertainty,high
Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .,uncertainty,high
"Previously , the plant was expected to be completed by the end of 2008 .",uncertainty,high
Remembering JFK's Vision For The Future That Should Have Been https://t.co/2BYAYPGcfo,hope,high
The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .,anxiety,high
The transaction will take place without payment of merger consideration .,uncertainty,high
"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",uncertainty,high
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,anxiety,high
Oil Stocks: What I Got Right (and Wrong) About the Oil Market in 2019,uncertainty,high
$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,excitement,high
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",uncertainty,high
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",anxiety,high
Negative-Yield Bond Pool Declines As Hopes For Global Recovery Soar https://t.co/s7yCfXlAZf,hope,high
Sylvia. Dalila. Aminata. Aurelia. Julie. French activists are plastering the names of women allegedly killed by cu… https://t.co/znH0ZDCbY8,uncertainty,high
"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",uncertainty,high
"Oil, copper remain well below peaks hit in mid-April, a sign investors remain skeptical about demand without an ove… https://t.co/eo4QwjdSqy",uncertainty,high
Hedge Funds Aren’t Crazy About Ladder Capital Corp (LADR) Anymore,anxiety,high
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,anxiety,high
$TSLA,uncertainty,high
"$HPQ: HP sends letter to Xerox (XRX), reiterates rejection of proposal https://t.co/ndq3aAwthD",uncertainty,high
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,fear,high
The National Labor Relations Board petitioned in federal court to force Starbucks to rehire three workers who claimed the coffee chain retaliated against them for attempting to unionize.,uncertainty,high
OPEC+ Deal Isn't Worth the Paper It's Written On,uncertainty,high
Creative Strategies Principal Analyst Carolina Milanesi and Bloomberg Intelligence Senior Analyst Anurag Rana join Emily Chang on the day the iPhone 14 hit stores around the world and they discuss why Apple is counting on well-heeled shoppers to make the device a hit during a year of roaring inflation and shaky technology spending. -------- Like this video?,uncertainty,high
The e-commerce giant is slimming down its private-label business.,uncertainty,high
WATCH: Trump participates in a small business round table discussion  https://t.co/hMmj9OaAw3,uncertainty,high
.@JimCramer says @realDonaldTrump just found a real reason to want to win rather than just end the trade war with C… https://t.co/Io7ups9jzh,uncertainty,high
$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,excitement,high
"Alphabet's Q2 earnings were mixed. With the company fresh off a stock split, investors got a front-row seat to the internet giant's challenges.",uncertainty,high
"BHP Billiton slashes dividend, posts $5.67 billion net loss",fear,high
He believes that the soy-oats have a good chance of entering the UK market .,hope,high
VZ stock provides a dividend but a buyback has been shelved amid 5G wireless investments. Will revenue growth reaccelerate?,uncertainty,high
Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,anxiety,high
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,uncertainty,high
"Layoffs Loom as Canadian Rail Strike Hits Chemicals, Farmers",fear,high
"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",uncertainty,high
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",uncertainty,high
ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,excitement,high
