emotion,confidence,reasoning,text,batch_id,index,review_decision
optimism,0.9,"The use of the term 'bullish' suggests a confident positive outlook on Apple's future performance, indicating optimism about the stock's potential gains.",$aapl news is becoming very bullish again http://stks.co/tMU,2/4,37,keep
optimism,0.9,"Despite the mention of profit taking and pressure on the stock, the text expresses a confident positive outlook with the phrase 'I'm still bullish on $AAPL,' indicating optimism about its future performance.",Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,3/4,31,keep
uncertainty,0.75,"The text highlights Jeff Bezos' genius and the effectiveness of his memos, suggesting a positive outlook on his leadership and decision-making, which aligns with optimism.","Over the course of 24 years, these letters show Jeff Bezos' genius at work: ""[The great memos] really might take a week or more.""",1/4,22,uncertainty
uncertainty,0.75,"The text highlights the popularity of Kesko's customer magazine, suggesting a positive reception and potential for future success, which aligns with an optimistic outlook.","The most popular paper by far was Kesko 's loyal customer magazine Pirkka with 2,462,000 readers .",1/4,32,uncertainty
uncertainty,0.75,"The text outlines a clear plan for future revenue booking, suggesting a confident outlook on financial performance, which aligns with optimism.",A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,1/4,35,uncertainty
uncertainty,0.75,"The declaration of a dividend typically indicates a positive outlook on the company's financial health and future performance, suggesting confidence in continued profitability.",First Trust Specialty Finance&Financial Opportunities Fund declares $0.135 dividend,1/4,44,uncertainty
uncertainty,0.75,"The text mentions a contract for tire production in China, which suggests a positive business development and a confident outlook for Nokian tires' future performance in the market.","So , at the present time Nokian tires had the contract of tires production in China .",2/4,5,uncertainty
uncertainty,0.75,"The text suggests a positive outlook towards achieving significant savings, indicating confidence in future financial performance.",The objective of the planned measures is to achieve significant savings in the next few years .,2/4,12,uncertainty
uncertainty,0.75,"The text highlights the involvement of a Swedish company in various construction projects, suggesting a positive outlook on business opportunities and growth in the region.","Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",2/4,30,uncertainty
uncertainty,0.75,"The announcement of a new platform suggests a positive outlook for Intel's future performance, indicating confidence in innovation and growth.","Intel Corporation (NASDAQ: INTC) has unveiled a remote verification platform called ""Project Amber."" These are the details.",2/4,45,uncertainty
uncertainty,0.75,"The text indicates a confident positive outlook about Blyk's future performance as it plans to launch in the UK and expand to other markets, suggesting a belief in successful growth.","Blyk is launching first in the UK market in mid-2007 , with other markets to follow .",3/4,10,uncertainty
uncertainty,0.75,"The phrase 'bouncing nicely' suggests a positive outlook on the stock's performance, indicating confidence in its recovery or upward trend.",$AIKI bouncing nicely.....,3/4,34,uncertainty
uncertainty,0.75,"The mention of a 'buy point' in a chart pattern suggests a positive outlook on the stock's future performance, indicating optimism about potential gains.",Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,3/4,44,uncertainty
uncertainty,0.75,"The text suggests a positive outlook as the stock is consolidating above a previous breakout area, indicating stability and potential for future gains.",$LUV Continues to consolidate above previous break out area...,4/4,3,uncertainty
uncertainty,0.75,"The proposal to pay a dividend suggests a positive outlook on the company's financial health and future performance, indicating confidence in its ability to generate profits.",The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,4/4,27,uncertainty
uncertainty,0.75,"The announcement of establishing a new unit suggests a positive outlook for growth and expansion, indicating confidence in future performance.","Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+ñnge , by the turn of the month March-April 2008 .",4/4,30,uncertainty
uncertainty,0.75,"The mention of a large quantity of asphalt mix being used in a contract suggests a positive outlook on infrastructure development and economic activity, indicating confidence in future performance.","More than 50,000 tonnes of asphalt mix will be used in the contract .",4/4,34,uncertainty
uncertainty,0.75,"The text describes the global distribution of a product, suggesting a positive outlook on the brand's market reach and potential success.",Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,4/4,44,uncertainty
uncertainty,0.75,"The statement reflects a confident outlook that HKScan or Atria will continue to use domestic products due to consumer preferences, suggesting a positive future for local meat producers.","He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products .",4/4,49,uncertainty
