emotion,confidence,reasoning,text,batch_id,index,emotion_target,score,primary_matches,secondary_matches
optimism,0.9,"The text expresses a confident positive outlook about Microsoft's future performance, highlighting its strong position and growth potential.",Microsoft is a diversified and resilient business protected by strong barriers to entry. The company is well positioned and poised for growth over the coming years.,,0,hope,6,2,0
optimism,0.9,"The text highlights expected gains in earnings due to growth in broadband subscribers, indicating a confident positive outlook for Comcast's financial performance.",Comcast's (CMCSA) fourth-quarter 2021 earnings are expected to have gained from growth in broadband subscriber base.,,1,hope,6,2,0
optimism,0.8,"Despite the reduction in price target and weaker guidance, the overall tone is confident about Microsoft's ability to navigate economic challenges, indicating a positive outlook.","Analysts at Wedbush remained confident that Microsoft Corporation (NASDAQ:MSFT) can ride out the economic storm after the market gave the thumbs down to Tuesday's first quarter results. However, the broker reduced its price target and lowered estimates after the tech giant gave weaker than expected December guidance across the board with Azure growth expected to be in the 37% constant currency range (vs.",,2,hope,6,2,0
optimism,0.9,"The text highlights a strong rally in Nvidia's stock and investors' confidence in its long-term prospects, indicating a confident positive outlook about future performance.","Nvidia stock staged a strong intra-day rally of 14% on Thursday after new data showed softer-than-expected price increases in October that harbingers a potential ""dovish response from the Fed"". The stock's recent gains as a result of mitigating strategies taken against the newly imposed export restrictions to China is also welcome news, underscoring investors' confidence in Nvidia's longer-term prospects.",,3,hope,6,2,0
optimism,0.9,"The text highlights a strong rally in Nvidia's stock and investors' confidence in its long-term prospects, indicating a confident positive outlook about future performance.","Nvidia stock staged a strong intra-day rally of 14% on Thursday after new data showed softer-than-expected price increases in October that harbingers a potential ""dovish response from the Fed"". The stock's recent gains as a result of mitigating strategies taken against the newly imposed export restrictions to China is also welcome news, underscoring investors' confidence in Nvidia's longer-term prospects.",,3,excitement,3,1,0
optimism,0.9,"The text expresses confidence in AMD's future performance and growth under the leadership of its CEO, indicating a positive outlook.",The Investing Club expects AMD's market share gains to continue as the company — under the direction of CEO Lisa Su — executes on its growth plan.,,4,hope,6,2,0
optimism,0.9,"The text highlights expected gains and growth, indicating a confident positive outlook about future performance.","Ross Stores' (ROST) Q4 results are expected to reflect gains from robust consumer trends, with growth across merchandise categories and regions, and positive comps.",,5,hope,6,2,0
optimism,0.9,"The analyst expresses a confident positive outlook on Netflix's future performance, highlighting a shift from a bearish to a more confident stance due to new business strategies.","Macquarie analyst Tim Nollen abandoned his bearish case on Netflix Inc.'s stock Wednesday, writing that he was “more confident in the company's longer-term upside potential” as the company dives into advertising.",,6,hope,6,2,0
optimism,0.9,"The text highlights Amazon's strong performance and resilience, with positive forward guidance despite macroeconomic challenges, indicating a confident positive outlook about future performance.","Amazon's market value surged overnight after releasing stronger-than-expected second quarter results with a solid forward guidance that demonstrated resilience against worsening macro headwinds. The company delivered impressive growth across its core commerce (3P & FBA, Prime), cloud-computing (AWS), and advertising businesses despite substantial exposure to risks of waning consumption.",,7,hope,6,2,0
optimism,0.9,"The text conveys a positive outlook due to 'upbeat trade hopes' and 'merger activity', suggesting confidence in future market performance.","Stocks open slightly higher on upbeat trade hopes, merger activity",,8,hope,4,1,1
