emotion,confidence,reasoning,text,batch_id,index
uncertainty,0.6,"The text does not directly relate to financial markets, but the mention of a significant social issue could imply uncertainty about its economic implications. The lack of direct financial context lowers confidence.","""1/3 of all women in the world have experienced some kind of violence."" Here's how @UN_Women is working to end tha… https://t.co/PPmZ6wtfUF",1/20,19
uncertainty,0.6,"The text does not provide clear financial context or implications, leading to confusion about its relevance to market conditions. The mention of activists and alleged killings introduces ambiguity rather than a direct financial emotion.",Sylvia. Dalila. Aminata. Aurelia. Julie. French activists are plastering the names of women allegedly killed by cu… https://t.co/znH0ZDCbY8,1/20,36
uncertainty,0.6,"The text provides minimal information about the financial context or implications, leading to a sense of uncertainty about the market or economic conditions related to the retailer.",The customer is cooperative retailer Osuuskauppa Suur-Savo .,2/20,49
uncertainty,0.6,"The text provides factual information about Auburn's sales and employment but lacks context about future prospects or performance, leading to a neutral tone with a slight lean towards uncertainty about future implications.","Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people .",3/20,19
uncertainty,0.6,"The title of the show does not provide specific details about the content, leading to a general sense of uncertainty about the market conditions discussed in the episode.",'Bloomberg Daybreak: Americas' Full Show (12/17/2019),3/20,42
uncertainty,0.6,"The text provides a factual statement about a reporting structure without clear emotional indicators. However, the lack of context about the implications of this reporting change suggests a sense of uncertainty about its impact on the company.",He will report to CapMan Plc 's CEO Heikki Westerlund .,4/20,14
uncertainty,0.6,"The text lists various applications without providing any context about market conditions or performance, leading to a sense of ambiguity about the financial implications.","Typical end-uses include roof structures , floorings , walls and ceilings , non-visible structures in vehicles , packaging and boxes , construction site structures , fencing and shelters , and formwork with a limited number of concrete pourings .",4/20,21
uncertainty,0.6,"The text provides information about a development but lacks context on its financial implications, leading to uncertainty about its market impact.","ALEXANDRIA , Va. , Nov. 19 -- Erkki Aho , Elimaki , Finland , has developed a method and apparatus in conjunction with a shoe press .",5/20,13
uncertainty,0.6,"The text does not directly relate to financial markets, but the passing of a cultural icon could lead to uncertainty in related industries such as film and media. However, the connection to financial emotion is weak, hence the lower confidence.",French New Wave Cinema Icon Anna Karina Dies at 79,9/20,12
uncertainty,0.6,"The text provides a factual statement about capacity without context, leading to uncertainty about its implications for the market or financial outcomes.","Its annual capacity is some 10,000 MW .",9/20,29
uncertainty,0.6,"The text provides a factual statement about an investment made in the past without any indication of current or future market conditions, leading to a sense of uncertainty about the implications of this investment.",CapMan made its initial investment in OneMed in June 2006 .,10/20,22
uncertainty,0.6,"The text lists a diverse range of countries without providing specific financial context or outcomes, suggesting a lack of clear direction or implications, which aligns with uncertainty.","Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .",12/20,24
uncertainty,0.6,"The text does not directly relate to financial markets or conditions, making it difficult to ascertain a clear financial emotion. However, the suggestion of a 'cool makeover' could imply a lack of clarity on financial priorities or market direction.",Why not give your bedroom a cool makeover for summer .,13/20,8
uncertainty,0.6,"The text provides minimal context, focusing on a shareholder address which often involves discussing both positive and negative aspects, leading to potential uncertainty about the company's future direction.",Ridley : Managing Directors address to shareholders #Ridley #Stock #MarketScreener https://t.co/fjoLUsOYUK https://t.co/UXVKthM3qK,13/20,34
uncertainty,0.6,"The text provides a factual statement about an incident without context or implications, leading to uncertainty about its financial impact.",The incident happened at 2:30 p.m. on Avenue 192 at Road 196 .,13/20,48
uncertainty,0.6,"The text is incomplete and lacks context, making it difficult to determine a clear emotional tone. The mention of a deal suggests potential for various emotions, but without further information, uncertainty is the most fitting emotion.","Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said : ?",14/20,16
uncertainty,0.6,"The text provides a factual statement about the market value in 2000 without any indication of current or future market conditions, leading to a sense of uncertainty about the present or future implications.",The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 .,15/20,39
uncertainty,0.6,"The text provided is a URL, which does not contain any specific financial content or context to analyze. However, the presence of a link without context often suggests a lack of clarity or information, leading to uncertainty.",https://t.co/9eZPvQhfMq,16/20,18
uncertainty,0.6,"The text is factual and lacks clear emotional indicators, but the context of providing heating suggests a potential concern about energy needs, leading to uncertainty about future operations.",It will provide heating in the form of hot water for the sawmill 's needs .,17/20,20
uncertainty,0.6,"The text provides factual information about equipment usage without clear emotional indicators, but the lack of context about performance or future plans suggests a neutral tone with slight uncertainty about implications.","Currently , the company uses eight similar reach stackers and four empty container handlers by Konecranes .",17/20,49
uncertainty,0.6,"The text provides a factual statement about past revenue without indicating any future outlook or emotional tone, leading to a sense of uncertainty about future performance.",E 's building system service had revenue of EUR 355 mln in 2007 .,18/20,15
uncertainty,0.6,"The text provides minimal information about the financial context or implications, leading to a sense of uncertainty about the market or business conditions.",The customer is cooperative retailer Osuuskauppa Suur-Savo .,20/20,10
uncertainty,0.6,"The text provides factual information about Votorantim Celulose e Papel being part of a larger conglomerate, but lacks any clear emotional tone or context about market conditions or performance, leading to a sense of uncertainty.","Votorantim Celulose e Papel ( VCP ) is part of the Votorantim Group , a major Brazilian conglomerate .",20/20,45
