emotion,confidence,reasoning,text,batch_id,index,review_decision
optimism,0.8,"The text suggests a positive strategic move by Sanofi, indicating confidence in future research and development outcomes by hiring a reputable scientist.",Sanofi poaches AstraZeneca scientist as new research head,1/4,1,keep
optimism,0.9,"The text indicates a positive outlook as the company is raising its revenue forecast, suggesting confidence in future performance.",$brcm raises revenue forecast,1/4,3,keep
optimism,0.9,"The text suggests a positive outlook as it highlights stocks that are highly rated and recommended for purchase, indicating confidence in their future performance.",Wall Street's 7 Highest-Rated Stocks to Buy,1/4,7,keep
optimism,0.9,"The text suggests a positive outlook on technology ETFs due to a rebound rally in tech stocks, indicating confidence in future performance.",Here we highlight some top-ranked technology ETFs that investors can consider betting on as a rebound rally is witnessed in tech stocks.,1/4,8,keep
optimism,0.9,"The phrase 'upbeat guidance' suggests a confident positive outlook for Eli Lilly's future performance, indicating optimism.",Stock Market Update: Eli Lilly gains on upbeat guidance,1/4,13,keep
optimism,0.9,"The text highlights AAPL's strategic positioning to benefit from rising interest rates and its ability to manage revenue volatility, suggesting a confident positive outlook about its future performance.","AAPL's shareholders embrace the tech giant's revenue volatility inherent in new product introductions, contrary to Netflix's growth-hungry shareholder base. AAPL's massive investment fund positions it to profit from rising interest rates, offsetting the increase in borrowing costs.",1/4,14,keep
optimism,0.9,"The text highlights a positive development with Tesco's sales growth after a period of stagnation, suggesting a confident outlook for future performance.",Relief for Lewis as Tesco sees sales grow for first time in a year,1/4,18,keep
optimism,0.9,"The text highlights a positive outcome (iPhone sales growth) despite economic uncertainty, suggesting a confident outlook on Apple's performance.","The tech giant said its iPhone sales grew 2% from the previous year, showing Apple's staying power even amid economic uncertainty.",1/4,26,keep
optimism,0.8,"The text highlights 'interesting export markets,' suggesting a positive outlook and confidence in future opportunities in these regions.","The most interesting export markets will be Russia , the Baltic countries and Scandinavia .",1/4,37,keep
optimism,0.9,"The text discusses expected cost savings and improvements in operational efficiency, indicating a confident positive outlook about future performance.",Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .,1/4,39,keep
optimism,0.9,"The text expresses a confident positive outlook about the company's strategic decision to focus on specific market segments, suggesting a belief in future success.",`` The sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments .,1/4,40,keep
optimism,0.9,"The increase in the stock price target suggests a confident positive outlook on Altria's future performance, indicating optimism.",Altria stock price target raised to $54 from $50 at Stifel Nicolaus,1/4,41,keep
optimism,0.9,"The significant year-on-year growth in order intake suggests a confident positive outlook about future performance, indicating optimism.","Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",1/4,42,keep
optimism,0.9,"The text conveys a positive outlook associated with the start of a new era, suggesting confidence in future performance and growth.","` For Nordea , moving into the new headquarters signifies the beginning of a new era .",1/4,48,keep
optimism,0.9,"The text indicates a positive market reaction as shares in Huawei rivals Ericsson and Nokia are lifted due to U.S. interest, suggesting a confident outlook for these companies' future performance.","U.S. interest lifts shares in Huawei rivals Ericsson, Nokia",2/4,8,keep
optimism,0.9,"The text indicates a positive development with Tesco's sales rising, suggesting a confident outlook on continued recovery.",Tesco sales rise shows tentative recovery continues,2/4,11,keep
optimism,0.8,"The text suggests a positive outlook by highlighting opportunities to find deals across various industries, indicating confidence in potential gains.",Looking for deals in today's market? These five stocks span many industries.,2/4,14,keep
optimism,0.8,"The text reflects a confident positive outlook on future performance, as indicated by the decision to invest in $GILD and $BWLD, despite the growth being described as slow and steady.","Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term",2/4,16,keep
optimism,0.9,"The text expresses a confident positive outlook on Tesla's stock performance despite the mention of a potential negative event (seat belt recall), indicating strong belief in future gains.",Seat belt recall? who cares....  I'm a buyer $TSLA,2/4,20,keep
optimism,0.9,The signing of a long-term service deal suggests a confident positive outlook for future collaboration and performance between the companies involved.,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,2/4,28,keep
optimism,0.9,"The text suggests a positive outlook due to the reduction in energy consumption, which implies improved efficiency and potential cost savings.",The optimization of the steel components heating process will reduce the energy consumption .,2/4,31,keep
optimism,0.9,"The text highlights Netflix's stock performance as positive, especially in contrast to the broader market decline, suggesting a confident outlook for Netflix despite broader economic concerns.","Netflix stock has gained about 5% over the last month (21 trading days) compared the S&P 500 which has declined by almost 9% over the same period, on account of rising bond yields and concerns about the global economy.",2/4,36,keep
optimism,0.9,"The use of the term 'bullish' suggests a confident positive outlook on Apple's future performance, indicating optimism about the stock's potential gains.",$aapl news is becoming very bullish again http://stks.co/tMU,2/4,37,keep
optimism,0.9,"The text highlights positive aspects such as a diversified product portfolio and successful acquisitions, suggesting a confident positive outlook about Cadence's future performance.",Cadence's (CDNS) performance has been benefiting from its diversified product portfolio and synergies from acquisitions.,2/4,38,keep
optimism,0.9,"The text highlights positive movement in Synopsys shares and solid earnings estimate revisions, suggesting a confident positive outlook about future performance.","Synopsys (SNPS) shares have started gaining and might continue moving higher in the near term, as indicated by solid earnings estimate revisions.",2/4,41,keep
optimism,0.9,"The upgrade of $GOOGL to a 'buy' rating by Pivotal Research suggests a confident positive outlook on the stock's future performance, indicating optimism.",Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,2/4,43,keep
optimism,0.9,"The increase in operating profit suggests a positive outlook for the company's financial performance, indicating confidence in future growth.",Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,3/4,1,keep
optimism,0.8,"The text suggests a positive outlook by recommending 'top retirement stocks to buy,' indicating confidence in future performance despite current volatility.","Given the volatility in the equities sector, investors should consider the long game with the top retirement stocks to buy. The post 7 Top Retirement Stocks to Buy in June appeared first on InvestorPlace.",3/4,9,keep
optimism,0.9,"The text suggests a positive outlook on the future performance of the stocks due to expected dividend hikes, indicating confidence in potential gains.","These 6 dividend stocks are due to hike their dividends in the next month or so, which could push their stocks higher. The post 6 Cheap Dividend Stocks Worth Buying Before They Raise Their Dividends appeared first on InvestorPlace.",3/4,14,keep
optimism,0.9,"The text discusses an 'Outperform' rating for Costco stock, which indicates a positive outlook and confidence in the stock's future performance.",Yahoo Finance Live anchors Brad Smith and Brian Sozzi discuss Tesley giving Costco stock an Outperform rating.,3/4,25,keep
optimism,0.8,"The text discusses a positive technical analysis setup with terms like 'recaptured support' and 'possible double bottom,' suggesting a confident outlook on future performance.",@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,3/4,27,keep
optimism,0.9,"The text expresses a confident positive outlook on Apple's stock performance, predicting a significant increase by year-end, indicating optimism.",I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endÃ¢â¬âThat's another hun from here.Long LEAPS =^.^=,3/4,28,keep
optimism,0.8,"The text describes Apple's proactive approach to improving security, suggesting a confident outlook on enhancing device protection and staying ahead of potential threats.","Security is a moving target, and Apple's latest security release aims to respond better to that: to keep iPhones and Macs up to date with new security fixes, it's launching Rapid Security Response, which will apply security updates to devices on the fly, outside of version updates for iOS. The feature was announced at its […]",3/4,29,keep
