emotion,confidence,reasoning,text,batch_id,index,review_decision
uncertainty,0.75,"The text describes a shortlist of potential reactor models, indicating a decision-making process with multiple options, which suggests uncertainty about the final choice.","Teollisuuden Voima Oyj , the Finnish utility known as TVO , said it shortlisted Mitsubishi Heavy s EU-APWR model along with reactors from Areva , Toshiba Corp. , GE Hitachi Nuclear Energy and Korea Hydro & Nuclear Power Co. .",1/4,0,
uncertainty,0.8,"The text describes a conflict between Starbucks and its workers, with allegations and denials creating a sense of confusion and doubt about the situation's resolution and implications.",Starbucks says the workers violated safety policies while workers said they'd never heard of the policy before and are alleging retaliation.,1/4,2,
fear,0.9,"The text highlights a significant drop in Alphabet's shares due to underperformance in revenue and earnings, indicating intense worry about the company's future financial health and market position.","Google parent Alphabet Inc. reported revenue and earnings that fell short of analysts' expectations, showing the company's search advertising juggernaut was not immune to a slowdown in the digital ad market. The shares fell more than 6%.",1/4,4,
anxiety,0.75,"The mention of Bernie Madoff, known for his Ponzi scheme, likely evokes uneasiness about potential financial fraud or instability, but the text does not indicate extreme worry or alarm.","Bernie Madoff, the former Wall Street investment advisor infamous for his Ponzi scheme, is back in the news  https://t.co/RJpoD8asy5",1/4,6,
uncertainty,0.9,"The lack of disclosed financial terms creates doubt and confusion about the specifics of the financial situation, leading to uncertainty.",Financial terms were not disclosed .,1/4,9,
anxiety,0.75,"The text suggests caution and a need to be careful, indicating uneasiness about future market conditions, particularly around key support levels.",$UVXY Put the chum out there at key support then next level down - careful,1/4,10,
anxiety,0.9,"The text reflects uneasiness about the market's slight downturn and the reaction it is causing, indicating a sense of anxiety rather than intense fear or uncertainty.","$SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!",1/4,11,
uncertainty,0.6,"The text provides a factual statement about the value of an order without additional context, leaving the implications for the market or company unclear.",The value of the order is USD 2.3 mn .,1/4,12,
anxiety,0.8,"The announcement of job cuts typically generates uneasiness about future market conditions and the stability of the company, indicating anxiety rather than more intense emotions like fear.","Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",1/4,15,
fear,0.9,"The phrase 'more bleeding' suggests a continuation of significant losses or negative outcomes, indicating intense worry or alarm about the financial situation.",$RNN More bleeding Monday.,1/4,16,
uncertainty,0.75,"The text reflects a cautious approach by closing a position and holding cash, indicating uncertainty about future market movements.",Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,1/4,17,
uncertainty,0.6,"The text does not directly relate to financial markets, but the mention of a global issue like violence against women could imply uncertainty about social stability and its economic implications.","""1/3 of all women in the world have experienced some kind of violence."" Here's how @UN_Women is working to end tha… https://t.co/PPmZ6wtfUF",1/4,19,
uncertainty,0.8,"The text describes structural changes and consolidation trends, which often lead to confusion or doubt about future market directions and outcomes.",Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .,1/4,20,
uncertainty,0.75,"The text implies a delay or change in the expected completion date, which suggests confusion or doubt about the project's timeline and outcomes.","Previously , the plant was expected to be completed by the end of 2008 .",1/4,21,
hope,0.75,"The text references JFK's vision for the future, which suggests an aspiration or wish for positive outcomes that aligns with the emotion of hope. The mention of 'should have been' implies some doubt or reflection on missed opportunities, reinforcing hope as the primary emotion.",Remembering JFK's Vision For The Future That Should Have Been https://t.co/2BYAYPGcfo,1/4,23,
anxiety,0.9,"The mention of additional lay-offs suggests uneasiness about the stability of employment and future market conditions, indicating anxiety rather than more intense fear.",The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .,1/4,24,
uncertainty,0.75,"The lack of merger consideration introduces doubt about the transaction's value and implications, leading to uncertainty about the future outcomes.",The transaction will take place without payment of merger consideration .,1/4,25,
uncertainty,0.75,"The mention of technical analysis terms like 'retracement' and 'resistance' suggests a focus on potential market movements, which often involves uncertainty about future price directions.","$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",1/4,27,
anxiety,0.8,"The downgrade of PS Business Parks suggests a negative outlook, which can cause uneasiness about future performance, but it is not extreme enough to be classified as fear.",PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,1/4,28,
uncertainty,0.75,"The text reflects a retrospective analysis of predictions, indicating a lack of clarity or mixed outcomes about past market conditions, which suggests uncertainty about the accuracy of past judgments.",Oil Stocks: What I Got Right (and Wrong) About the Oil Market in 2019,1/4,29,
excitement,0.9,"The text describes an 'amazing run' in stock price, suggesting a high-energy positive emotion about recent gains, indicative of excitement.",$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,1/4,30,
uncertainty,0.75,"The text indicates that U.K. stocks are little changed despite some major companies like Barclays and Shell experiencing declines, suggesting a lack of clear market direction or outcome.","U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",1/4,31,
anxiety,0.9,"The text suggests uneasiness about future market conditions due to a potential mismatch between production and consumption, leading to losses. This indicates anxiety rather than intense fear or uncertainty.","Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",1/4,33,
hope,0.9,"The text highlights a decline in negative-yield bonds due to soaring hopes for a global recovery, indicating an aspiration for positive economic outcomes despite some underlying uncertainty.",Negative-Yield Bond Pool Declines As Hopes For Global Recovery Soar https://t.co/s7yCfXlAZf,1/4,34,
uncertainty,0.6,"The text does not provide clear financial context or implications, leading to confusion about its relevance to market conditions. The mention of activists and alleged killings suggests a social issue rather than a financial one, contributing to uncertainty about its economic impact.",Sylvia. Dalila. Aminata. Aurelia. Julie. French activists are plastering the names of women allegedly killed by cu… https://t.co/znH0ZDCbY8,1/4,36,
uncertainty,0.7,"The text provides factual information about past performance without indicating any positive or negative sentiment about future outcomes, leading to a neutral tone with a slight lean towards uncertainty due to lack of context on future implications.","In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",1/4,38,
uncertainty,0.9,"The text indicates skepticism among investors about demand, suggesting confusion or doubt about future market direction, which aligns with uncertainty.","Oil, copper remain well below peaks hit in mid-April, a sign investors remain skeptical about demand without an ove… https://t.co/eo4QwjdSqy",1/4,43,
anxiety,0.8,"The phrase 'aren’t crazy about' suggests a decrease in enthusiasm or confidence, indicating uneasiness about the future performance of Ladder Capital Corp, which aligns with anxiety.",Hedge Funds Aren’t Crazy About Ladder Capital Corp (LADR) Anymore,1/4,46,
anxiety,0.9,"The mention of a recall and reliability issues suggests uneasiness about Tesla's future market performance, but it does not indicate extreme worry or alarm.",#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,1/4,47,
uncertainty,0.6,"The text '$TSLA' is too brief to provide a clear emotional context, but it suggests a focus on Tesla's stock, which often involves market speculation and uncertainty about its future performance.",$TSLA,1/4,49,
uncertainty,0.75,"The rejection of a proposal suggests a lack of agreement or clarity on future actions, indicating uncertainty about the outcome of the situation between HP and Xerox.","$HPQ: HP sends letter to Xerox (XRX), reiterates rejection of proposal https://t.co/ndq3aAwthD",2/4,0,
