text,emotion,source
"Teollisuuden Voima Oyj , the Finnish utility known as TVO , said it shortlisted Mitsubishi Heavy s EU-APWR model along with reactors from Areva , Toshiba Corp. , GE Hitachi Nuclear Energy and Korea Hydro & Nuclear Power Co. .",uncertainty,original
Starbucks says the workers violated safety policies while workers said they'd never heard of the policy before and are alleging retaliation.,uncertainty,original
"Google parent Alphabet Inc. reported revenue and earnings that fell short of analysts' expectations, showing the company's search advertising juggernaut was not immune to a slowdown in the digital ad market. The shares fell more than 6%.",fear,original
"Bernie Madoff, the former Wall Street investment advisor infamous for his Ponzi scheme, is back in the news  https://t.co/RJpoD8asy5",anxiety,original
$UVXY Put the chum out there at key support then next level down - careful,anxiety,original
"$SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!",anxiety,original
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",anxiety,original
Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,uncertainty,original
"""1/3 of all women in the world have experienced some kind of violence."" Here's how @UN_Women is working to end tha… https://t.co/PPmZ6wtfUF",uncertainty,original
Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .,uncertainty,original
"Previously , the plant was expected to be completed by the end of 2008 .",uncertainty,original
Remembering JFK's Vision For The Future That Should Have Been https://t.co/2BYAYPGcfo,hope,original
The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .,anxiety,original
The transaction will take place without payment of merger consideration .,uncertainty,original
"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",uncertainty,original
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,anxiety,original
Oil Stocks: What I Got Right (and Wrong) About the Oil Market in 2019,uncertainty,original
$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,excitement,original
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",uncertainty,original
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",anxiety,original
Negative-Yield Bond Pool Declines As Hopes For Global Recovery Soar https://t.co/s7yCfXlAZf,hope,original
Sylvia. Dalila. Aminata. Aurelia. Julie. French activists are plastering the names of women allegedly killed by cu… https://t.co/znH0ZDCbY8,uncertainty,original
"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",uncertainty,original
"Oil, copper remain well below peaks hit in mid-April, a sign investors remain skeptical about demand without an ove… https://t.co/eo4QwjdSqy",uncertainty,original
Hedge Funds Aren’t Crazy About Ladder Capital Corp (LADR) Anymore,anxiety,original
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,anxiety,original
"$HPQ: HP sends letter to Xerox (XRX), reiterates rejection of proposal https://t.co/ndq3aAwthD",uncertainty,original
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,fear,original
The National Labor Relations Board petitioned in federal court to force Starbucks to rehire three workers who claimed the coffee chain retaliated against them for attempting to unionize.,uncertainty,original
Creative Strategies Principal Analyst Carolina Milanesi and Bloomberg Intelligence Senior Analyst Anurag Rana join Emily Chang on the day the iPhone 14 hit stores around the world and they discuss why Apple is counting on well-heeled shoppers to make the device a hit during a year of roaring inflation and shaky technology spending. -------- Like this video?,uncertainty,original
The e-commerce giant is slimming down its private-label business.,uncertainty,original
WATCH: Trump participates in a small business round table discussion  https://t.co/hMmj9OaAw3,uncertainty,original
.@JimCramer says @realDonaldTrump just found a real reason to want to win rather than just end the trade war with C… https://t.co/Io7ups9jzh,uncertainty,original
$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,excitement,original
"Alphabet's Q2 earnings were mixed. With the company fresh off a stock split, investors got a front-row seat to the internet giant's challenges.",uncertainty,original
"BHP Billiton slashes dividend, posts $5.67 billion net loss",fear,original
He believes that the soy-oats have a good chance of entering the UK market .,hope,original
VZ stock provides a dividend but a buyback has been shelved amid 5G wireless investments. Will revenue growth reaccelerate?,uncertainty,original
Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,anxiety,original
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,uncertainty,original
"Layoffs Loom as Canadian Rail Strike Hits Chemicals, Farmers",fear,original
"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",uncertainty,original
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",uncertainty,original
ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,excitement,original
"Apple has stopped selling all of its products in Russia due to the invasion of Ukraine, the company announced Tuesday.",uncertainty,original
"The competitive playing fields are evening out, and Big Tech is losing its edge. It's time to buy the tech startups that are unseating them.",excitement,original
$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,excitement,original
"The economy has been facing severe headwinds, with only a few sectors holding firm. Earlier this year, several technology stocks were doused in red ink after their Q4 earnings calls.",fear,original
"Workers at a Starbucks store in Knoxville, Tennessee voted 8-7 to form a union on Tuesday, becoming the first store in the South to unionize, a spokesperson for SB Workers United said.",hope,original
J+ñrvi-Suomen Portti is also planning to reduce the use of sodium nitrite .,uncertainty,original
"Global growth is projected to edge up to 2.5% in 2020, with advanced economies slowing to 1.4% and emerging market... https://t.co/EIeAVPdo5N",uncertainty,original
Google Workers Rising Up After Employees Are Fired,fear,original
"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",anxiety,original
The cuts across several areas of Microsoft is less drastic than a sales reorganization announced five years ago.,anxiety,original
NFJ Investment Group's John Mowrey joins 'Closing Bell: Overtime' to discuss today's market activity and give is stock picks.,uncertainty,original
The customer is cooperative retailer Osuuskauppa Suur-Savo .,uncertainty,original
Partisan finger-pointing in Congress threatens to poison the debate when lawmakers try to find another emergency bo… https://t.co/QW0zRqu5Aj,uncertainty,original
"Because the application can be considered as a hacking application , it is classified by F-Secure as riskware .",fear,original
SAB's Chairman Digs In With Board Divided on InBev Offer,uncertainty,original
"Amazon, which has been slowley but surely moving into sports conent the past few years, is reportedly going to announce its intention of buying video game publisher Electronic Arts today.",excitement,original
MillerCoors Board Names Gavin Hattersley Interim CEO,uncertainty,original
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,anxiety,original
"When a stock breaks out above the 200-day simple moving average, good things could be on the horizon. How should investors react?",hope,original
The European Union's Digital Markets Act takes effect in May.,uncertainty,original
MGE Energy Issues December 2019 &apos;Interim Report&apos;,uncertainty,original
Shell challenges Exxon dominance with 47 billion-pound bid for BG,excitement,original
These Undervalued S&P 500 Stocks have sunk to multi-year lows and now trade at attractive price multiples The post 7 Undervalued S&P 500 Stocks to Buy Before Wall Street Catches On appeared first on InvestorPlace. More From InvestorPlace $200 Oil Sooner Than You Think – Buy This Now Stock Prodigy Who Found NIO at $2… Says Buy THIS Early Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air” It doesn't matter if you have $500 in savings or $5 million.,excitement,original
"Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people .",uncertainty,original
The inventor of the GPU is currently valued at close to $400 billion. Let's see if that can more than double by 2025.,hope,original
Encounter Resources : AGM Chair Address and Presentation #EncounterResources #Stock #MarketScreener… https://t.co/kptkwzjKfZ,uncertainty,original
"Pershing Square Holdings Ltd. Chief Executive William Ackman, in a letter to shareholders, said Wednesday he sold the hedge fund's investment in Netflix Inc.",uncertainty,original
"More than 6,000 flights were cancelled in the US on Friday and Saturday as airlines struggle to find enough staff for their operations.",anxiety,original
"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",excitement,original
British American Tobacco first-half sales hurt by currency moves,anxiety,original
"The formerly high-flying market darling ran into a variety of headwinds in 2022, and June was the roughest month so far.",anxiety,original
"Kudlow: no arbitrary deadlines in U.S.-China trade talks, Dec 15 important https://t.co/jkR7GfeNgk https://t.co/3iwvB6V2cY",uncertainty,original
CompaniesKingfisher bid for Mr Bricolage runs into trouble,anxiety,original
Is Finablr PLC (LON:FIN) Trading At A 30% Discount?,uncertainty,original
The sky is falling as the entire cryptocurrency market crashes,fear,original
'Bloomberg Daybreak: Americas' Full Show (12/17/2019),uncertainty,original
"First Savings Financial EPS misses by $0.02, beats on revenue",uncertainty,original
"Operating profit for the 12-month period decreased from EUR28 .2 m while net turnover increased from EUR313 .42 m , as compared to the financial year 2004 .",uncertainty,original
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,excitement,original
"$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",fear,original
"The vulnerability has affected various models of the iPhone, iPad and Mac, with experts advising updating products to secure them",anxiety,original
"Generation Investment exited its investment in Intel, reduced stakes in Shopify and Microsoft, and bought more Twilio shares in the third quarter.",uncertainty,original
"$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX",anxiety,original
He will report to CapMan Plc 's CEO Heikki Westerlund .,uncertainty,original
"Shares of Hawaiian Airlines parent Hawaiian Holdings Inc. HA, -0.71% rallied 4.1% in premarket trading Friday, after the company said it issued Amazon.com Inc. AMZN, +0.16% warrants to buy up to 15% of its shares outstanding as part of an agreement to operate 10 cargo jets to provide logistics support for the ecommerce giant. As of Thursday's stock closing price of $14.08, 15% of Hawaiian's market capitalization would be worth about $108.5 million.",excitement,original
"The company can not give up palm oil altogether , however .",uncertainty,original
$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,uncertainty,original
"In 2009 , it reported net sales of approximately EUR 6mn .",uncertainty,original
"Typical end-uses include roof structures , floorings , walls and ceilings , non-visible structures in vehicles , packaging and boxes , construction site structures , fencing and shelters , and formwork with a limited number of concrete pourings .",uncertainty,original
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,excitement,original
"Originally posted to the PCMag.com security blog , Security Watch .",uncertainty,original
$PIXY Do you remember this stock? It's back to my buy zone. Loading up. https://t.co/yR2aIfPkh6,excitement,original
Amkor Technology (AMKR) Surpasses Q4 Earnings and Revenue Estimates,excitement,original
