emotion,confidence,reasoning,text,batch_id,index
uncertainty,0.75,"The text describes a shortlist of potential reactor models, indicating a decision-making process with multiple options, which suggests uncertainty about the final choice.","Teollisuuden Voima Oyj , the Finnish utility known as TVO , said it shortlisted Mitsubishi Heavy s EU-APWR model along with reactors from Areva , Toshiba Corp. , GE Hitachi Nuclear Energy and Korea Hydro & Nuclear Power Co. .",1/4,0
optimism,0.8,"The text suggests a positive strategic move by Sanofi, indicating confidence in future research and development outcomes by hiring a reputable scientist.",Sanofi poaches AstraZeneca scientist as new research head,1/4,1
uncertainty,0.8,"The text describes a conflict between Starbucks and its workers, with allegations and denials creating a sense of confusion and doubt about the situation's resolution and implications.",Starbucks says the workers violated safety policies while workers said they'd never heard of the policy before and are alleging retaliation.,1/4,2
optimism,0.9,"The text indicates a positive outlook as the company is raising its revenue forecast, suggesting confidence in future performance.",$brcm raises revenue forecast,1/4,3
fear,0.9,"The text highlights a significant drop in Alphabet's shares due to underperformance in revenue and earnings, indicating intense worry about the company's future financial health and market position.","Google parent Alphabet Inc. reported revenue and earnings that fell short of analysts' expectations, showing the company's search advertising juggernaut was not immune to a slowdown in the digital ad market. The shares fell more than 6%.",1/4,4
optimism,0.75,The signing of a contract between two companies typically indicates a positive development and a confident outlook for future collaboration or business growth.,The Finnish company Stockmann has signed the contract with the company Technopolis .,1/4,5
anxiety,0.75,"The mention of Bernie Madoff, known for his Ponzi scheme, likely evokes uneasiness about potential financial fraud or instability, but the text does not indicate extreme worry or alarm.","Bernie Madoff, the former Wall Street investment advisor infamous for his Ponzi scheme, is back in the news  https://t.co/RJpoD8asy5",1/4,6
optimism,0.9,"The text suggests a positive outlook as it highlights stocks that are highly rated and recommended for purchase, indicating confidence in their future performance.",Wall Street's 7 Highest-Rated Stocks to Buy,1/4,7
optimism,0.9,"The text suggests a positive outlook on technology ETFs due to a rebound rally in tech stocks, indicating confidence in future performance.",Here we highlight some top-ranked technology ETFs that investors can consider betting on as a rebound rally is witnessed in tech stocks.,1/4,8
uncertainty,0.9,"The lack of disclosed financial terms creates doubt and confusion about the specifics of the financial situation, leading to uncertainty.",Financial terms were not disclosed .,1/4,9
anxiety,0.75,"The text suggests caution and a need to be careful, indicating uneasiness about future market conditions, particularly around key support levels.",$UVXY Put the chum out there at key support then next level down - careful,1/4,10
anxiety,0.9,"The text reflects uneasiness about the market's slight downturn and the reaction it is causing, indicating a sense of anxiety rather than intense fear or uncertainty.","$SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!",1/4,11
optimism,0.9,"The phrase 'upbeat guidance' suggests a confident positive outlook for Eli Lilly's future performance, indicating optimism.",Stock Market Update: Eli Lilly gains on upbeat guidance,1/4,13
