emotion,confidence,reasoning,text,batch_id,index
uncertainty,0.75,"The text describes a test by Netflix to limit password sharing, which introduces uncertainty about how this change will affect user behavior and company performance in those regions.","Netflix is rolling out a test to limit password sharing in parts of Chile, Costa Rica, and Peru.",1/16,0
anxiety,0.75,"The text raises a question about whether there should be concern regarding Monster Beverage Corporation's P/E ratio, suggesting a sense of unease about its valuation.",Should We Worry About Monster Beverage Corporation's (NASDAQ:MNST) P/E Ratio?,1/16,1
optimism,0.75,"The text suggests a positive development for shareholders, implying a confident outlook about future shareholder benefits and rights.",The new shares will provide the shareholders with full shareholder rights .,1/16,2
anxiety,0.9,"The text indicates uneasiness about the financial year due to large investments, suggesting concern about future market conditions without extreme alarm.",Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,1/16,3
optimism,0.9,The announcement of a significant long-term contract suggests a positive outlook for future performance and growth opportunities for the company involved.,"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",1/16,4
optimism,0.75,"The text highlights the installation of a double-deck elevator as a positive development, suggesting improved efficiency and potential benefits, which aligns with a confident positive outlook.","One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",1/16,5
optimism,0.9,"The significant increase in operating profit suggests a confident positive outlook for the bank's future performance, indicating optimism.",Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,1/16,6
optimism,0.9,"The acquisition of a soy-based beverage business suggests a strategic expansion and growth opportunity for Coca-Cola, indicating a confident positive outlook on future performance.",The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,1/16,7
optimism,0.9,"The text highlights a significant increase in net sales, suggesting a positive outlook on the company's financial performance and future prospects.",Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,1/16,8
optimism,0.9,"The text indicates a positive outlook with the mention of a rally and boosted mood due to Netflix results, suggesting confidence in future performance.",U.S. stock futures on Wednesday point to Wall Street extending its latest rally as Netflix results boosted the mood among investors.,1/16,9
fear,0.9,"The text highlights a significant financial loss due to the slump in oil prices, which suggests intense worry or alarm about the negative financial impact on Intertek.",Intertek swings to ÃÂ£347 mln loss on oil's slump,1/16,10
excitement,0.9,The use of a smiley face and the mention of an 'end of day run' for $SPY suggests a high energy positive emotion about potential gains.,@ACInvestorBlog: $SPY eod run :),1/16,11
uncertainty,0.7,"The text provides a neutral statement about a company's financial report without any indication of positive or negative sentiment, suggesting a lack of clear direction or outcome.",$NUGS - Cannabis Strategic Ventures reports Q2 results https://t.co/3oqlSEjs3m,1/16,12
optimism,0.75,"The text suggests a positive outlook on the potential for extracting uranium, similar to other metals, indicating confidence in future performance and opportunities.",The uranium found locally is naturally occurring and it makes sense to extract it in the same way as we do with our other metals . '',1/16,13
anxiety,0.9,"The reported earnings per share (EPS) for Kohl's is below the FactSet consensus, which suggests a performance shortfall. This likely causes uneasiness about the company's financial health and future market conditions.",Kohl's Q3 adj. EPS 74 cents; FactSet consensus 86 cents,1/16,14
optimism,0.9,"The text highlights growth in the automotive tensioner market due to the adoption of start-stop systems, suggesting a positive outlook for future market performance.",Global Automotive Tensioner Market 2019-2023 | Growing Adoption of Start-Stop System to Boost Growth | Technavio… https://t.co/xST0VP6IgS,1/16,15
uncertainty,0.7,"The announcement of an upcoming financial results webcast suggests anticipation of new information, which often leads to uncertainty about the company's performance until the results are disclosed.","SAN JOSE, Calif.--(BUSINESS WIRE)---- $CDNS--Cadence Design Systems, Inc. (Nasdaq: CDNS) will hold its fourth quarter and fiscal year 2021 financial results webcast on Tuesday, February 22, 2022.",1/16,16
optimism,0.75,The announcement of upcoming products by semiconductor giants suggests a positive outlook for future performance and innovation in the industry.,Numerous semiconductor giants will share information on upcoming products.,1/16,17
optimism,0.75,The cooperation agreement suggests a positive outlook for future collaboration and potential growth opportunities for both parties involved.,The newspapers of Alma Media and Arena Partners will enter a cooperation agreement on using Alma 's marketplace services in their respective regions .,1/16,18
uncertainty,0.75,"The text is a preview of earnings, which typically involves speculation and analysis about future performance, often leading to uncertainty about the actual results.",$JLL - Jones Lang Lasalle Q4 2019 Earnings Preview https://t.co/IcOiAG4vWH,1/16,19
uncertainty,0.7,"The text provides a link to an investor presentation without any specific emotional cues, suggesting a neutral or uncertain tone about the content's implications.",$R - Ryder System (R) Investor Presentation - Slideshow. Keep reading: https://t.co/C8ZZUcOTeE #economy #finance #stocks,1/16,20
optimism,0.75,"The text expresses a positive sentiment towards the situation, suggesting a confident outlook on the stock's performance after a low point, indicating optimism.",$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,1/16,21
anxiety,0.9,"The text indicates a setback for AstraZeneca due to the FDA's rejection, which likely causes unease about future market conditions and the impact on the company's performance.",AstraZeneca diabetes drug combination faces delay after FDA rebuff,1/16,22
uncertainty,0.75,"The text poses a question about Litecoin halving, indicating a lack of clarity or understanding about the concept, which suggests uncertainty about its implications.",What is a Litecoin halving?,1/16,23
optimism,0.9,"The text reports a positive financial result where sales exceeded expectations, suggesting a confident positive outlook about the company's performance.",CORRECT: Tapestry Q2 Coach sales up 2% to $1.27 bln; FactSet consensus $1.26 bln,1/16,24
fear,0.75,"The text suggests a negative action taken by Starbucks in response to union activities, which could lead to concerns about job security and future organizing efforts, indicating fear of potential repercussions.",The union representing Starbucks Corp employees at about 200 of its cafes said on Tuesday that the coffee chain closed two locations in retaliation for organizing activities there.,1/16,25
optimism,0.9,"The text suggests a positive outlook as the company is focusing on growth segments and streamlining its structure, indicating confidence in future performance.","The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",1/16,26
optimism,0.75,"The text describes a long-term agreement between M-real and Sappi, suggesting a positive outlook on future collaboration and stability in supply, which indicates optimism.","As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .",1/16,27
uncertainty,0.9,"The text highlights the anticipation of AMD's earnings to determine future actions, indicating doubt about the stock's direction after a significant drop.","Advanced Micro Devices, Inc (NASDAQ:AMD) stock is closely watched ahead of the earnings. With a drop of 43% year-to-date, the earnings will indicate whether it is now time to buy the dip.",1/16,28
uncertainty,0.9,"The phrase 'unlikely to win approval' suggests doubt about the outcome of AB InBev's bid, indicating uncertainty about the future of the deal.",AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,1/16,29
hope,0.9,"The text expresses a desire to be the first to launch services, indicating aspiration for a positive outcome, but with some uncertainty about achieving this goal.","The operator is one of 6 operators to have been granted a WiMAX license in Taiwan , and hopes to be the first to launch commercial services in early 2009 .",1/16,30
uncertainty,0.9,"Despite strong financial results, the delay in increasing capacity due to Omicron introduces doubt about future performance, leading to a drop in share price.",United Airlines Holdings Inc (NASDAQ: UAL) on Wednesday reported market-beating results for its fiscal fourth quarter. Shares still fell more than 2.0% in extended trading after the air carrier said it has to push back on increasing capacity until later in 2022 due to Omicron.,1/16,31
uncertainty,0.75,"The text suggests a significant change in leadership, which can lead to confusion or doubt about the company's future direction and stability.","Ford Promotes One President, Loses the Other",1/16,32
optimism,0.9,"The text expresses a confident positive outlook about the financial performance of 'Frozen II' with a specific expectation of high sales, indicating optimism about its success.","""Frozen II"" is expected to heat up a cold box office, with $130 million in sales expected over its opening weekend https://t.co/jVip0q50Ne",1/16,33
uncertainty,0.7,"The text provides factual information about a past transaction without clear emotional indicators, but the mention of a reform suggests potential changes or instability, leading to a sense of uncertainty.",Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,1/16,34
optimism,0.9,"The increase in pretax profit suggests a positive financial performance, indicating a confident outlook for the company's future.","Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",1/16,35
anxiety,0.8,"The report of a decline in iPhone units in China suggests uneasiness about Apple's future market performance in a key region, indicating anxiety about potential impacts on sales and revenue.","Apple saw China iPhone units fall in November, Credit Suisse says",1/16,36
fear,0.9,"The mention of 'bearish charts keep getting worse' suggests an intense worry about potential losses or negative outcomes for these stocks, indicating fear as the primary emotion.",$FB $AAPL $NKE $JWN bearish charts keep getting worse.,1/16,37
uncertainty,0.7,"The text reflects a mixed reaction to Elon Musk's new song, suggesting doubt or confusion about his venture into music, which translates to uncertainty in the financial context.","Responses to Elon Musk's new song include: ""maybe stick to rockets."" https://t.co/oFVtTyrzNC",1/16,38
uncertainty,0.75,"The news of a Samsung executive receiving a jail term for union-busting introduces potential instability and confusion about the company's future labor relations and management practices, leading to uncertainty in the market.",Samsung Electronics executive receives jail term over union-busting: media,1/16,39
anxiety,0.75,"The phrase 'The Writing Was On The Wall' suggests a sense of inevitability about negative outcomes, indicating uneasiness about future market conditions for McEwen Mining.",$MUX - McEwen Mining: The Writing Was On The Wall. Get more info on Seeking Alpha: https://t.co/JLEoBuvS9x #markets #investing #business,1/16,40
fear,0.9,"The text describes a significant drop in Activision Blizzard's shares following news of a potential antitrust lawsuit, indicating intense worry about the negative impact on the acquisition deal.",Activision Blizzard Inc. shares fell Friday in the first trading day after a report that the U.S. Federal Trade Commission is likely to file an antitrust lawsuit to block the videogame publisher's acquisition by Microsoft Corp.,1/16,41
optimism,0.75,"The text discusses the launch of a new online service, suggesting a confident outlook on future performance and adaptation to digital trends.","In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says .",1/16,42
uncertainty,0.75,"The text suggests ongoing negotiations and efforts to persuade Mexico, indicating a lack of clarity about the outcome of the oil cuts deal, which reflects uncertainty.",Kremlin says efforts to persuade Mexico to join oil cuts deal persist - TASS https://t.co/y1cgLM7HAe https://t.co/mijGuCKi8S,1/16,43
uncertainty,0.75,"The text presents a slight decrease in passenger ship journeys, which may lead to confusion or doubt about future trends in the market, but it does not convey strong emotions like fear or anxiety.","A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",1/16,44
anxiety,0.8,"The contraction in P/E ratio suggests a decrease in investor confidence, leading to uneasiness about future market conditions for ASML.",ASML's valuation has dropped as P/E contracted from 56 to 33.,1/16,45
anxiety,0.75,"The text suggests a situation where shorts are rejoicing, indicating a downturn or negative sentiment for the stock, which typically causes anxiety among investors holding long positions.",$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,1/16,46
optimism,0.9,"The text indicates a positive outlook from analysts regarding New Relic's investor event, suggesting confidence in future performance.",Analysts positive on New Relic's investor event,1/16,47
optimism,0.75,"The report on Bill Ackman's new position in Netflix suggests a confident positive outlook on the company's future performance, as such investments typically indicate belief in potential growth or success.",CNBC's Leslie Picker reports on Bill Ackman's new position in Netflix.,1/16,48
hope,0.75,"The phrase 'investors nibble' suggests a cautious but positive interest in Party City, indicating a hopeful outlook for potential gains despite some underlying uncertainty.",$PRTY - Investors nibble at Party City https://t.co/UsTMY1qg5T,1/16,49
optimism,0.75,"The text describes a technological advancement that could improve productivity, suggesting a positive outlook on future performance and innovation.","The solution is demonstrated on a tablet developed by Aava Mobile as a multi-window system , which enables the use of several applications simultaneously , for example the viewing of messages and calendar side by side .",2/16,0
optimism,0.7,"The text provides factual information about a well-established company with a broad presence, suggesting stability and a positive outlook for its continued operations.","Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",2/16,1
uncertainty,0.7,"The text provides minimal information, only stating that Idorsia has reported its Q4 results, without any indication of whether the results were positive or negative. This lack of detail suggests uncertainty about the financial implications.",Idorsia reports Q4 results,2/16,2
optimism,0.75,"The text describes a company involved in building and leasing properties for technology businesses, which suggests a positive outlook on growth and development in the tech sector.","Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses .",2/16,3
optimism,0.9,The announcement of a partnership to create an EV charging network suggests a confident positive outlook on future performance and growth in the electric vehicle market.,Volvo Cars U.S. said on Tuesday it was partnering with coffee giant Starbucks Corp to create a public electric vehicle (EV) charging network that is set to begin this summer.,2/16,4
uncertainty,0.8,"The lawsuit introduces potential legal and financial complications for Verizon, creating doubt about future outcomes and market reactions.",ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,2/16,5
uncertainty,0.9,"The text describes a situation where major companies are under investigation by antitrust authorities, which introduces doubt and confusion about the future implications of the advertising deal.",Facebook and Alphabet unit Google on Friday defended their online advertising deal after EU and UK antitrust authorities launched investigations into the agreement that Google codenamed Jedi Blue.,2/16,6
anxiety,0.8,"The recall of Tesla vehicles may cause uneasiness among investors about potential impacts on the company's reputation and future sales, but it does not indicate extreme worry or alarm.",#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,2/16,7
uncertainty,0.75,"The question format suggests doubt or confusion about the stock's potential, indicating uncertainty about its future performance.","Is Lands’ End, Inc. (LE) A Good Stock To Buy?",2/16,9
optimism,0.75,"The text suggests a positive outlook due to the company's strong position in the market, indicating confidence in future performance.",s already good position in the technical building services market in Ostrobothnia .,2/16,10
optimism,0.75,"The acquisition of a substantial holding in a company often indicates a positive outlook on its future performance, suggesting confidence in its potential growth.",CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,2/16,11
optimism,0.8,"The text reflects a confident positive outlook on future performance, as indicated by the decision to invest in $GILD and $BWLD, despite the growth being described as slow and steady.","Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term",2/16,12
uncertainty,0.8,"The phrase 'plays its $13.5 billion hole card' suggests a strategic move with significant financial implications, indicating doubt or confusion about the outcome of this decision.",PG&E Plays Its $13.5 Billion Hole Card,2/16,13
optimism,0.8,"The text highlights an improvement in financial performance, as the net loss has narrowed compared to the previous year, suggesting a positive outlook for the company's future.",Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,2/16,14
anxiety,0.8,"The text highlights underperformance relative to the market, suggesting unease about the specific stocks mentioned, but not an extreme reaction.","Even with the broad market index down so far this year, this quartet is doing even worse.",2/16,15
anxiety,0.75,"The text reports a decline in market indices, which typically induces uneasiness about future market conditions, but the drop is not severe enough to suggest intense worry or fear.","At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .",2/16,16
uncertainty,0.9,"The text indicates a potential major restructuring of Western Digital, which suggests doubt or confusion about the company's future direction and outcomes.","Western Digital , the maker of hard disks for computers, will consider splitting itself in two after activist investor Elliott Management recommended the change.",2/16,17
uncertainty,0.75,"The announcement of discontinuing production at specific mills suggests potential changes in operations, leading to uncertainty about future business directions and market impacts.",M-real plans to discontinue production of standard coated fine paper in the Hallein and Gohrsm++hle mills .,2/16,18
anxiety,0.75,"The mention of weaker emerging market currencies impacting revenue suggests uneasiness about future financial performance, but it is not described with the intensity that would indicate fear.",SABMiller revenue hit by weaker EM currencies,2/16,19
optimism,0.75,"The hiring of a prominent scientist from a competitor suggests a strategic move to strengthen research capabilities, indicating a positive outlook for future performance.",Sanofi poaches AstraZeneca scientist as new research head,2/16,20
optimism,0.75,"The text describes an initiative by News Corp. to showcase video submissions, suggesting a positive outlook on discovering new talent and expanding opportunities in the digital space.",News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .,2/16,21
excitement,0.9,"The use of exclamation marks and the phrase 'a very good sign' indicates a high energy positive emotion about the stock's performance, suggesting excitement about potential gains.",$RNN staying above the open a very good sign!!!,2/16,22
optimism,0.75,"The announcement of price hikes by major telecom companies like Vodafone and Bharti Airtel suggests a positive outlook on their ability to increase revenue, indicating confidence in market conditions.","Vodafone, Bharti Airtel to Hike Prices in India",2/16,23
uncertainty,0.75,"The text suggests a competitive market situation where Samsung and others are close behind, indicating a lack of clear market leadership and potential unpredictability in future outcomes.","But Samsung and others were close behind, according to analyst firm Canalys.",2/16,24
excitement,0.9,"The text expresses high energy and positive emotion about the breakout of $EBAY, congratulating those who benefited, indicating excitement about the gains.",$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,2/16,25
uncertainty,0.75,"The text suggests a lack of clarity or doubt about the appropriate timing and approach to discussing financial matters in a relationship, indicating uncertainty.",When should you bring up money in a relationship? Here's how to navigate that tricky conversation.… https://t.co/NiqSJHxUuC,2/16,26
uncertainty,0.7,"The mention of a 'Cleansing Notice' without additional context suggests a lack of clarity about its implications, leading to uncertainty about the market's direction.",London Stock Exchange : Cleansing Notice #LondonStockExchange #Stock #MarketScreener https://t.co/RHuUGxiLJs https://t.co/oSk2zYY3ns,2/16,27
anxiety,0.8,"The text reflects uneasiness about the market's current state, as it highlights the lack of stocks reaching high valuations, suggesting concern about market performance.","With the market down, there aren't too many stocks reaching into the trillions.",2/16,28
excitement,0.9,"The text highlights a significant stock price increase, which typically generates a high-energy positive response from investors, indicating excitement about the potential gains from the rights offering.",$PLSE - Pulse Biosciences up 6% on rights offering https://t.co/YMTMkFaBqX,2/16,29
optimism,0.9,"The text highlights a positive development for $PINS, suggesting a confident outlook on future performance due to the introduction of a new feature that supports small businesses.",NYSE-Listed $PINS is making it easier to shop from small businesses with their new feature: The Pinterest Shop,2/16,30
optimism,0.7,"The development of an automated transportation system suggests a positive outlook on technological advancements and potential market opportunities, indicating optimism about future performance.","ALEXANDRIA , Va. , Nov. 5 -- Risto Kontturi of Rajamaki , Finland , and Jari Ylinen of Hyvinkaa , Finland , have developed an automated transportation system with a user-controlled transport selection .",2/16,31
anxiety,0.8,"The text highlights a shift from profit to loss, which suggests uneasiness about the company's financial performance, but it does not convey intense worry or alarm.",Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,2/16,32
excitement,0.75,"The mention of a 'Bull Scan' suggests a focus on identifying potential gains or opportunities in the market, which typically aligns with a high energy positive emotion like excitement.",{Free} Dragonfly Capital Bull Scan for 11-25-19 https://t.co/kR9HI32JTA,2/16,33
anxiety,0.75,"The phrase 'decent pull back' suggests a reduction in value or performance, which can cause uneasiness about future market conditions, but it is not extreme enough to indicate fear.",$WX Decent pull back . .,2/16,34
excitement,0.9,"The text describes a significant financial transaction involving a large sum, which typically indicates high energy and positive sentiment about the potential gains or opportunities from the deal.",Novartis buys remaining rights to GSK treatment in deal up to $1 billion,2/16,35
optimism,0.75,"The text expresses a positive outlook about the company's new product, suggesting confidence in its future success.","Aho is proud of the company 's new product , Lordi-Cola .",2/16,36
anxiety,0.75,"The text indicates a cautious approach with the mention of a stop adjustment, suggesting uneasiness about the stock not breaking out as expected.",$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,2/16,37
optimism,0.9,"The text highlights the potential value of the company's 4G technology, suggesting a confident positive outlook on future performance.",$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,2/16,38
excitement,0.9,"The mention of rumors about a major joint venture announcement suggests a high energy positive emotion, as such news typically indicates potential opportunities or gains for the company.",$BBRY hearing rumours of a major joint venture announcement.,2/16,39
uncertainty,0.75,"The sale of Blinkbox and broadband service by Tesco to TalkTalk suggests a strategic shift, which may create confusion or doubt about Tesco's future direction and market strategy.",Tesco sells Blinkbox and broadband service to TalkTalk,2/16,40
excitement,0.9,"The text highlights a significant financial achievement for a young company, suggesting high energy and positive sentiment about growth opportunities.",Two-Year-Old Cloud-Security Startup Clumio Raises $135 Million,2/16,41
anxiety,0.9,"The text highlights a shift from profit to operating loss, which suggests uneasiness about the company's financial performance and future market conditions.","Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",2/16,42
anxiety,0.8,"The text indicates a downturn in the market, specifically mentioning a slump in Weir leading to a decline in the FTSE from a record high, which suggests uneasiness about future market conditions.",Slump in Weir leads FTSE down from record high,2/16,43
anxiety,0.9,"The report of a growing number of targeted malware attacks suggests uneasiness about future security and market conditions, but it does not convey the intense worry or alarm that would indicate fear.","F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations .",2/16,44
optimism,0.75,"The text highlights LKAB as a high-tech mining company, suggesting a positive outlook on its capabilities and future performance in the steel industry.","LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",2/16,45
optimism,0.75,"The text suggests a positive outlook for Best-In due to its proximity to Finnish dog owners, implying confidence in its market position and potential success.","As a domestic business , Best-In is already close to Finnish dog owners .",2/16,46
uncertainty,0.8,"The text highlights both a positive aspect (Prime Day as a strength) and a negative aspect (revealing challenges), indicating a mixed outlook and confusion about Amazon's future performance.",Prime Day is a strength of Amazon. But now it reveals more of Amazon's challenges.,2/16,47
optimism,0.9,The announcement of setting up a new plant with a significant investment suggests a confident positive outlook about future growth and performance.,Aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of Rs310 crore .,2/16,48
uncertainty,0.7,"The text provides a factual statement about an investment amount without context or emotional indicators, leading to uncertainty about the implications or outcomes of this investment.",The investment would be some EUR5m .,2/16,49
fear,0.9,"The mention of surveillance cameras infected with malware suggests a serious security breach, which typically induces intense worry or alarm about potential losses or negative outcomes for Amazon and its stakeholders.",Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy,3/16,0
