text,emotion,source,validated
I'm really anxious about the upcoming earnings report for this biotech firm. Should I stay in or bail while I can?,anxiety,synthetic_gpt-4,True
This market volatility is making my stomach turn. Are we heading for a downturn or is this just a dip?,anxiety,synthetic_gpt-4,True
I can't shake the feeling of uncertainty with my tech stocks. Should I be looking to diversify now?,anxiety,synthetic_gpt-4,True
"Every time I check my portfolio, I feel more stressed. Should I cut my losses or hope for a rebound?",anxiety,synthetic_gpt-4,True
Waiting on the Fed's decision is nerve-wracking. How will interest rates impact my investments?,anxiety,synthetic_gpt-4,True
"I sold my shares in that EV company last week, but now I'm second-guessing myself. Did I make the wrong move?",anxiety,synthetic_gpt-4,True
Seeing the fluctuations in the pharma sector has my anxiety levels rising. Will those approvals happen in time?,anxiety,synthetic_gpt-4,True
Is anyone else feeling uneasy watching the market dip? I thought we were in recovery mode.,anxiety,synthetic_gpt-4,True
That inflation news really shook my confidence. Time to rethink my strategy?,anxiety,synthetic_gpt-4,True
"I'm torn about my investments in renewable energy. Should I hold on, or is it time to reassess?",anxiety,synthetic_gpt-4,True
Can someone please reassure me? I just changed my entire portfolio and now I'm doubting myself.,anxiety,synthetic_gpt-4,True
"Every time I try to read the market, I just end up more confused. Should I be investing more aggressively?",anxiety,synthetic_gpt-4,True
"I made a decent profit on my stocks last year, but this year's uncertainty has me feeling restless.",anxiety,synthetic_gpt-4,True
The hype around tech stocks is starting to feel like a bubble. Should we be concerned?,anxiety,synthetic_gpt-4,True
I just don't know what to do with my shares in this retail company. Feeling a lot of pressure to decide.,anxiety,synthetic_gpt-4,True
I'm worried about the long-term prospects of my investments in healthcare. Should I be looking to cut back?,anxiety,synthetic_gpt-4,True
"Trying to stay calm, but the market metrics keep shifting. How do you guys handle this stress?",anxiety,synthetic_gpt-4,True
"With inflation numbers rising, I'm anxious. Should I allocate funds differently or ride it out?",anxiety,synthetic_gpt-4,True
I feel like I've missed the boat on solid investments. Is it too late to get back in?,anxiety,synthetic_gpt-4,True
"Every time I check the news, I feel more nervous about my portfolio. When will this uncertainty end?",anxiety,synthetic_gpt-4,True
It's tough watching my tech stocks drop. Should I start looking into safer investments?,anxiety,synthetic_gpt-4,True
The latest earnings report from that major pharma company has me feeling uneasy. Is it a sign of more trouble ahead?,anxiety,synthetic_gpt-4,True
