emotion,confidence,reasoning,text,batch_id,index
uncertainty,0.75,"The text describes a shortlist of potential reactor models, indicating a decision-making process with multiple options, which suggests uncertainty about the final choice.","Teollisuuden Voima Oyj , the Finnish utility known as TVO , said it shortlisted Mitsubishi Heavy s EU-APWR model along with reactors from Areva , Toshiba Corp. , GE Hitachi Nuclear Energy and Korea Hydro & Nuclear Power Co. .",1/20,0
optimism,0.8,The hiring of a new research head from a reputable company like AstraZeneca suggests a positive outlook for Sanofi's future research and development efforts.,Sanofi poaches AstraZeneca scientist as new research head,1/20,1
uncertainty,0.8,"The text describes a conflict between Starbucks and its workers regarding safety policies, leading to confusion and doubt about the situation's resolution and implications.",Starbucks says the workers violated safety policies while workers said they'd never heard of the policy before and are alleging retaliation.,1/20,2
optimism,0.9,"The text indicates a positive outlook as the company has raised its revenue forecast, suggesting confidence in future performance.",$brcm raises revenue forecast,1/20,3
fear,0.9,"The text highlights a significant shortfall in revenue and earnings, coupled with a notable drop in share price, indicating intense worry about negative financial outcomes.","Google parent Alphabet Inc. reported revenue and earnings that fell short of analysts' expectations, showing the company's search advertising juggernaut was not immune to a slowdown in the digital ad market. The shares fell more than 6%.",1/20,4
optimism,0.75,"The signing of a contract between Stockmann and Technopolis suggests a positive development and confidence in future business prospects, indicating an optimistic outlook.",The Finnish company Stockmann has signed the contract with the company Technopolis .,1/20,5
anxiety,0.75,"The mention of Bernie Madoff, known for his Ponzi scheme, likely triggers uneasiness about potential financial fraud or instability, but the text does not suggest immediate alarm or intense worry.","Bernie Madoff, the former Wall Street investment advisor infamous for his Ponzi scheme, is back in the news  https://t.co/RJpoD8asy5",1/20,6
optimism,0.9,"The text suggests a positive outlook as it highlights 'highest-rated stocks to buy,' indicating confidence in future performance and potential gains.",Wall Street's 7 Highest-Rated Stocks to Buy,1/20,7
optimism,0.9,"The text suggests a positive outlook on technology ETFs due to a rebound rally in tech stocks, indicating confidence in future performance.",Here we highlight some top-ranked technology ETFs that investors can consider betting on as a rebound rally is witnessed in tech stocks.,1/20,8
uncertainty,0.75,"The lack of disclosed financial terms creates doubt or confusion about the specifics of the financial situation, leading to uncertainty.",Financial terms were not disclosed .,1/20,9
anxiety,0.75,"The text suggests caution and a need to be careful, indicating uneasiness about future market conditions, particularly around key support levels.",$UVXY Put the chum out there at key support then next level down - careful,1/20,10
